year,general_role,experience_level,company_size,company_location,predicted_salary_usd
2020,Computer Vision Engineer,Entry,Enterprise,Canada,73083.336
2020,Computer Vision Engineer,Entry,Enterprise,Italy,55874.215
2020,Computer Vision Engineer,Entry,Enterprise,Singapore,79273.58
2020,Computer Vision Engineer,Entry,Enterprise,Germany,65760.91
2020,Computer Vision Engineer,Entry,Enterprise,Finland,46225.035
2020,Computer Vision Engineer,Mid,Small,United States,118195.26
2020,Computer Vision Engineer,Mid,Small,Australia,92878.93
2020,Computer Vision Engineer,Mid,Small,Netherlands,84603.01
2020,Computer Vision Engineer,Mid,Small,United Kingdom,87104.12
2020,Computer Vision Engineer,Mid,Small,Canada,91450.61
2020,Computer Vision Engineer,Mid,Small,Italy,77371.49
2020,Computer Vision Engineer,Mid,Small,Singapore,98994.484
2020,Computer Vision Engineer,Mid,Small,Germany,83511.09
2020,Computer Vision Engineer,Mid,Small,Finland,62319.453
2020,Computer Vision Engineer,Mid,Medium,United States,121535.99
2020,Computer Vision Engineer,Mid,Medium,Australia,94533.48
2020,Computer Vision Engineer,Mid,Medium,Netherlands,85142.28
2020,Computer Vision Engineer,Mid,Medium,United Kingdom,87732.42
2020,Computer Vision Engineer,Mid,Medium,Canada,94078.836
2020,Computer Vision Engineer,Mid,Medium,Italy,77999.8
2020,Computer Vision Engineer,Mid,Medium,Singapore,98898.49
2020,Computer Vision Engineer,Mid,Medium,Germany,83899.5
2020,Computer Vision Engineer,Mid,Medium,Finland,62947.73
2020,Computer Vision Engineer,Mid,Large,United States,118473.945
2020,Computer Vision Engineer,Mid,Large,Australia,92878.93
2020,Computer Vision Engineer,Mid,Large,Netherlands,84603.01
2020,Computer Vision Engineer,Mid,Large,United Kingdom,87104.12
2020,Computer Vision Engineer,Mid,Large,Canada,91450.61
2020,Computer Vision Engineer,Mid,Large,Italy,77371.49
2020,Computer Vision Engineer,Mid,Large,Singapore,98684.2
2020,Computer Vision Engineer,Mid,Large,Germany,83284.67
2020,Computer Vision Engineer,Mid,Large,Finland,62319.453
2020,Computer Vision Engineer,Mid,Enterprise,United States,118195.26
2020,Computer Vision Engineer,Mid,Enterprise,Australia,92878.93
2020,Computer Vision Engineer,Mid,Enterprise,Netherlands,84603.01
2020,Computer Vision Engineer,Mid,Enterprise,United Kingdom,87104.12
2020,Computer Vision Engineer,Mid,Enterprise,Canada,91450.61
2020,Computer Vision Engineer,Mid,Enterprise,Italy,77371.49
2020,Computer Vision Engineer,Mid,Enterprise,Singapore,98994.484
2020,Computer Vision Engineer,Mid,Enterprise,Germany,83284.67
2020,Computer Vision Engineer,Mid,Enterprise,Finland,62319.453
2020,Computer Vision Engineer,Senior,Small,United States,158051.14
2020,Computer Vision Engineer,Senior,Small,Australia,122812.375
2020,Computer Vision Engineer,Senior,Small,Netherlands,113792.77
2020,Computer Vision Engineer,Senior,Small,United Kingdom,116541.82
2020,Computer Vision Engineer,Senior,Small,Canada,125386.05
2020,Computer Vision Engineer,Senior,Small,Italy,98844.59
2020,Computer Vision Engineer,Senior,Small,Singapore,131092.47
2020,Computer Vision Engineer,Senior,Small,Germany,111649.6
2020,Computer Vision Engineer,Senior,Small,Finland,88749.63
2020,Computer Vision Engineer,Senior,Medium,United States,161680.45
2020,Computer Vision Engineer,Senior,Medium,Australia,124099.836
2020,Computer Vision Engineer,Senior,Medium,Netherlands,114604.66
2020,Computer Vision Engineer,Senior,Medium,United Kingdom,117442.734
2020,Computer Vision Engineer,Senior,Medium,Canada,127829.836
2020,Computer Vision Engineer,Senior,Medium,Italy,99745.51
2020,Computer Vision Engineer,Senior,Medium,Singapore,131991.7
2020,Computer Vision Engineer,Senior,Medium,Germany,113072.164
2020,Computer Vision Engineer,Senior,Medium,Finland,89650.55
2020,Computer Vision Engineer,Senior,Large,United States,158503.06
2020,Computer Vision Engineer,Senior,Large,Australia,122638.44
2020,Computer Vision Engineer,Senior,Large,Netherlands,113792.77
2020,Computer Vision Engineer,Senior,Large,United Kingdom,116541.82
2020,Computer Vision Engineer,Senior,Large,Canada,125386.05
2020,Computer Vision Engineer,Senior,Large,Italy,99751.375
2020,Computer Vision Engineer,Senior,Large,Singapore,130782.17
2020,Computer Vision Engineer,Senior,Large,Germany,111649.6
2020,Computer Vision Engineer,Senior,Large,Finland,88749.63
2020,Computer Vision Engineer,Senior,Enterprise,United States,158051.14
2020,Computer Vision Engineer,Senior,Enterprise,Australia,122812.375
2020,Computer Vision Engineer,Senior,Enterprise,Netherlands,113792.77
2020,Computer Vision Engineer,Senior,Enterprise,United Kingdom,116541.82
2020,Computer Vision Engineer,Senior,Enterprise,Canada,125386.05
2020,Computer Vision Engineer,Senior,Enterprise,Italy,98844.59
2020,Computer Vision Engineer,Senior,Enterprise,Singapore,130781.56
2020,Computer Vision Engineer,Senior,Enterprise,Germany,111649.6
2020,Computer Vision Engineer,Senior,Enterprise,Finland,88749.63
2020,Computer Vision Engineer,Lead,Small,United States,198067.44
2020,Computer Vision Engineer,Lead,Small,Australia,168664.92
2020,Computer Vision Engineer,Lead,Small,Netherlands,155212.6
2020,Computer Vision Engineer,Lead,Small,United Kingdom,158216.97
2020,Computer Vision Engineer,Lead,Small,Canada,161846.22
2020,Computer Vision Engineer,Lead,Small,Italy,145984.02
2020,Computer Vision Engineer,Lead,Small,Singapore,180214.39
2020,Computer Vision Engineer,Lead,Small,Germany,153805.77
2020,Computer Vision Engineer,Lead,Small,Finland,131839.88
2020,Computer Vision Engineer,Lead,Medium,United States,198591.0
2020,Computer Vision Engineer,Lead,Medium,Australia,169742.66
2020,Computer Vision Engineer,Lead,Medium,Netherlands,155811.64
2020,Computer Vision Engineer,Lead,Medium,United Kingdom,158905.05
2020,Computer Vision Engineer,Lead,Medium,Canada,162912.45
2020,Computer Vision Engineer,Lead,Medium,Italy,146672.1
2020,Computer Vision Engineer,Lead,Medium,Singapore,179754.14
2020,Computer Vision Engineer,Lead,Medium,Germany,154783.47
2020,Computer Vision Engineer,Lead,Medium,Finland,132527.95
2020,Computer Vision Engineer,Lead,Large,United States,197192.89
2020,Computer Vision Engineer,Lead,Large,Australia,168490.98
2020,Computer Vision Engineer,Lead,Large,Netherlands,155212.6
2020,Computer Vision Engineer,Lead,Large,United Kingdom,158216.97
2020,Computer Vision Engineer,Lead,Large,Canada,161846.22
2020,Computer Vision Engineer,Lead,Large,Italy,146890.81
2020,Computer Vision Engineer,Lead,Large,Singapore,179904.11
2020,Computer Vision Engineer,Lead,Large,Germany,153805.77
2020,Computer Vision Engineer,Lead,Large,Finland,131839.88
2020,Computer Vision Engineer,Lead,Enterprise,United States,197333.0
2020,Computer Vision Engineer,Lead,Enterprise,Australia,168445.03
2020,Computer Vision Engineer,Lead,Enterprise,Netherlands,154992.7
2020,Computer Vision Engineer,Lead,Enterprise,United Kingdom,157997.08
2020,Computer Vision Engineer,Lead,Enterprise,Canada,161626.33
2020,Computer Vision Engineer,Lead,Enterprise,Italy,145764.12
2020,Computer Vision Engineer,Lead,Enterprise,Singapore,179683.61
2020,Computer Vision Engineer,Lead,Enterprise,Germany,153585.88
2020,Computer Vision Engineer,Lead,Enterprise,Finland,131619.98
2020,Machine Learning Engineer,Entry,Small,United States,92719.68
2020,Machine Learning Engineer,Entry,Small,Australia,75333.23
2020,Machine Learning Engineer,Entry,Small,Netherlands,68311.984
2020,Machine Learning Engineer,Entry,Small,United Kingdom,70439.695
2020,Machine Learning Engineer,Entry,Small,Canada,74341.08
2020,Machine Learning Engineer,Entry,Small,Italy,56970.637
2020,Machine Learning Engineer,Entry,Small,Singapore,80818.02
2020,Machine Learning Engineer,Entry,Small,Germany,66543.85
2020,Machine Learning Engineer,Entry,Small,Finland,44851.535
2020,Machine Learning Engineer,Entry,Medium,United States,96546.516
2020,Machine Learning Engineer,Entry,Medium,Australia,79350.66
2020,Machine Learning Engineer,Entry,Medium,Netherlands,68769.85
2020,Machine Learning Engineer,Entry,Medium,United Kingdom,70758.15
2020,Machine Learning Engineer,Entry,Medium,Canada,77369.086
2020,Machine Learning Engineer,Entry,Medium,Italy,58034.453
2020,Machine Learning Engineer,Entry,Medium,Singapore,80924.31
2020,Machine Learning Engineer,Entry,Medium,Germany,67953.42
2020,Machine Learning Engineer,Entry,Medium,Finland,45915.344
2020,Machine Learning Engineer,Entry,Large,United States,93492.5
2020,Machine Learning Engineer,Entry,Large,Australia,75333.23
2020,Machine Learning Engineer,Entry,Large,Netherlands,68311.984
2020,Machine Learning Engineer,Entry,Large,United Kingdom,70439.695
2020,Machine Learning Engineer,Entry,Large,Canada,74579.32
2020,Machine Learning Engineer,Entry,Large,Italy,57877.42
2020,Machine Learning Engineer,Entry,Large,Singapore,80659.016
2020,Machine Learning Engineer,Entry,Large,Germany,66543.85
2020,Machine Learning Engineer,Entry,Large,Finland,44851.535
2020,Machine Learning Engineer,Entry,Enterprise,United States,92604.21
2020,Machine Learning Engineer,Entry,Enterprise,Australia,75217.76
2020,Machine Learning Engineer,Entry,Enterprise,Netherlands,68196.516
2020,Machine Learning Engineer,Entry,Enterprise,United Kingdom,70642.164
2020,Machine Learning Engineer,Entry,Enterprise,Canada,74225.61
2020,Machine Learning Engineer,Entry,Enterprise,Italy,56855.164
2020,Machine Learning Engineer,Entry,Enterprise,Singapore,80702.555
2020,Machine Learning Engineer,Entry,Enterprise,Germany,66604.516
2020,Machine Learning Engineer,Entry,Enterprise,Finland,44736.062
2020,Machine Learning Engineer,Mid,Small,United States,123683.69
2020,Machine Learning Engineer,Mid,Small,Australia,93927.71
2020,Machine Learning Engineer,Mid,Small,Netherlands,85878.83
2020,Machine Learning Engineer,Mid,Small,United Kingdom,88768.08
2020,Machine Learning Engineer,Mid,Small,Canada,93088.69
2020,Machine Learning Engineer,Mid,Small,Italy,78794.21
2020,Machine Learning Engineer,Mid,Small,Singapore,100438.516
2020,Machine Learning Engineer,Mid,Small,Germany,84657.51
2020,Machine Learning Engineer,Mid,Small,Finland,60991.082
2020,Machine Learning Engineer,Mid,Medium,United States,131913.92
2020,Machine Learning Engineer,Mid,Medium,Australia,99493.28
2020,Machine Learning Engineer,Mid,Medium,Netherlands,87048.58
2020,Machine Learning Engineer,Mid,Medium,United Kingdom,90578.21
2020,Machine Learning Engineer,Mid,Medium,Canada,96864.31
2020,Machine Learning Engineer,Mid,Medium,Italy,80569.914
2020,Machine Learning Engineer,Mid,Medium,Singapore,101884.14
2020,Machine Learning Engineer,Mid,Medium,Germany,86778.96
2020,Machine Learning Engineer,Mid,Medium,Finland,62766.785
2020,Machine Learning Engineer,Mid,Large,United States,125669.32
2020,Machine Learning Engineer,Mid,Large,Australia,93927.71
2020,Machine Learning Engineer,Mid,Large,Netherlands,85878.83
2020,Machine Learning Engineer,Mid,Large,United Kingdom,88768.08
2020,Machine Learning Engineer,Mid,Large,Canada,93326.93
2020,Machine Learning Engineer,Mid,Large,Italy,78794.21
2020,Machine Learning Engineer,Mid,Large,Singapore,100279.51
2020,Machine Learning Engineer,Mid,Large,Germany,84657.51
2020,Machine Learning Engineer,Mid,Large,Finland,60991.082
2020,Machine Learning Engineer,Mid,Enterprise,United States,123568.22
2020,Machine Learning Engineer,Mid,Enterprise,Australia,93812.24
2020,Machine Learning Engineer,Mid,Enterprise,Netherlands,85763.36
2020,Machine Learning Engineer,Mid,Enterprise,United Kingdom,88970.55
2020,Machine Learning Engineer,Mid,Enterprise,Canada,92973.22
2020,Machine Learning Engineer,Mid,Enterprise,Italy,78678.74
2020,Machine Learning Engineer,Mid,Enterprise,Singapore,100323.05
2020,Machine Learning Engineer,Mid,Enterprise,Germany,84718.17
2020,Machine Learning Engineer,Mid,Enterprise,Finland,60875.61
2020,Machine Learning Engineer,Senior,Small,United States,159644.05
2020,Machine Learning Engineer,Senior,Small,Australia,124691.18
2020,Machine Learning Engineer,Senior,Small,Netherlands,115667.195
2020,Machine Learning Engineer,Senior,Small,United Kingdom,118793.734
2020,Machine Learning Engineer,Senior,Small,Canada,131097.52
2020,Machine Learning Engineer,Senior,Small,Italy,101311.92
2020,Machine Learning Engineer,Senior,Small,Singapore,133640.42
2020,Machine Learning Engineer,Senior,Small,Germany,113794.07
2020,Machine Learning Engineer,Senior,Small,Finland,88411.875
2020,Machine Learning Engineer,Senior,Medium,United States,169081.48
2020,Machine Learning Engineer,Senior,Medium,Australia,129427.15
2020,Machine Learning Engineer,Senior,Medium,Netherlands,116950.34
2020,Machine Learning Engineer,Senior,Medium,United Kingdom,121235.54
2020,Machine Learning Engineer,Senior,Medium,Canada,135129.8
2020,Machine Learning Engineer,Senior,Medium,Italy,103201.02
2020,Machine Learning Engineer,Senior,Medium,Singapore,134541.05
2020,Machine Learning Engineer,Senior,Medium,Germany,116385.08
2020,Machine Learning Engineer,Senior,Medium,Finland,90300.98
2020,Machine Learning Engineer,Senior,Large,United States,160357.14
2020,Machine Learning Engineer,Senior,Large,Australia,124284.25
2020,Machine Learning Engineer,Senior,Large,Netherlands,115434.2
2020,Machine Learning Engineer,Senior,Large,United Kingdom,118560.74
2020,Machine Learning Engineer,Senior,Large,Canada,130864.59
2020,Machine Learning Engineer,Senior,Large,Italy,101985.71
2020,Machine Learning Engineer,Senior,Large,Singapore,131867.27
2020,Machine Learning Engineer,Senior,Large,Germany,113561.08
2020,Machine Learning Engineer,Senior,Large,Finland,88178.88
2020,Machine Learning Engineer,Senior,Enterprise,United States,159295.6
2020,Machine Learning Engineer,Senior,Enterprise,Australia,124342.72
2020,Machine Learning Engineer,Senior,Enterprise,Netherlands,115318.734
2020,Machine Learning Engineer,Senior,Enterprise,United Kingdom,118763.21
2020,Machine Learning Engineer,Senior,Enterprise,Canada,130749.125
2020,Machine Learning Engineer,Senior,Enterprise,Italy,100963.46
2020,Machine Learning Engineer,Senior,Enterprise,Singapore,132285.8
2020,Machine Learning Engineer,Senior,Enterprise,Germany,113621.74
2020,Machine Learning Engineer,Senior,Enterprise,Finland,88063.414
2020,Machine Learning Engineer,Lead,Small,United States,203047.69
2020,Machine Learning Engineer,Lead,Small,Australia,171229.6
2020,Machine Learning Engineer,Lead,Small,Netherlands,157566.19
2020,Machine Learning Engineer,Lead,Small,United Kingdom,160440.3
2020,Machine Learning Engineer,Lead,Small,Canada,165083.88
2020,Machine Learning Engineer,Lead,Small,Italy,148412.17
2020,Machine Learning Engineer,Lead,Small,Singapore,181853.73
2020,Machine Learning Engineer,Lead,Small,Germany,156275.06
2020,Machine Learning Engineer,Lead,Small,Finland,131462.9
2020,Machine Learning Engineer,Lead,Medium,United States,206994.81
2020,Machine Learning Engineer,Lead,Medium,Australia,175311.03
2020,Machine Learning Engineer,Lead,Medium,Netherlands,157888.38
2020,Machine Learning Engineer,Lead,Medium,United Kingdom,160623.08
2020,Machine Learning Engineer,Lead,Medium,Canada,166990.48
2020,Machine Learning Engineer,Lead,Medium,Italy,149340.31
2020,Machine Learning Engineer,Lead,Medium,Singapore,183174.48
2020,Machine Learning Engineer,Lead,Medium,Germany,157673.08
2020,Machine Learning Engineer,Lead,Medium,Finland,132391.05
2020,Machine Learning Engineer,Lead,Large,United States,202667.3
2020,Machine Learning Engineer,Lead,Large,Australia,171055.66
2020,Machine Learning Engineer,Lead,Large,Netherlands,157566.19
2020,Machine Learning Engineer,Lead,Large,United Kingdom,160440.3
2020,Machine Learning Engineer,Lead,Large,Canada,165083.88
2020,Machine Learning Engineer,Lead,Large,Italy,149318.97
2020,Machine Learning Engineer,Lead,Large,Singapore,181694.73
2020,Machine Learning Engineer,Lead,Large,Germany,156275.06
2020,Machine Learning Engineer,Lead,Large,Finland,131462.9
2020,Machine Learning Engineer,Lead,Enterprise,United States,202417.67
2020,Machine Learning Engineer,Lead,Enterprise,Australia,171114.12
2020,Machine Learning Engineer,Lead,Enterprise,Netherlands,157450.72
2020,Machine Learning Engineer,Lead,Enterprise,United Kingdom,160642.77
2020,Machine Learning Engineer,Lead,Enterprise,Canada,164968.4
2020,Machine Learning Engineer,Lead,Enterprise,Italy,148296.7
2020,Machine Learning Engineer,Lead,Enterprise,Singapore,181738.27
2020,Machine Learning Engineer,Lead,Enterprise,Germany,156335.72
2020,Machine Learning Engineer,Lead,Enterprise,Finland,131347.44
2020,Research Engineer,Entry,Small,United States,128240.92
2020,Research Engineer,Entry,Small,Australia,38965.324
2020,Research Engineer,Entry,Small,Netherlands,43728.258
2020,Research Engineer,Entry,Small,United Kingdom,115251.3
2020,Research Engineer,Entry,Small,Canada,50524.516
2020,Research Engineer,Entry,Small,Italy,45297.91
2020,Research Engineer,Entry,Small,Singapore,54854.008
2020,Research Engineer,Entry,Small,Germany,62023.156
2020,Research Engineer,Entry,Small,Finland,25037.215
2020,Research Engineer,Entry,Medium,United States,138339.45
2020,Research Engineer,Entry,Medium,Australia,43535.25
2020,Research Engineer,Entry,Medium,Netherlands,50922.227
2020,Research Engineer,Entry,Medium,United Kingdom,126272.67
2020,Research Engineer,Entry,Medium,Canada,59771.695
2020,Research Engineer,Entry,Medium,Italy,52580.906
2020,Research Engineer,Entry,Medium,Singapore,61128.902
2020,Research Engineer,Entry,Medium,Germany,76756.45
2020,Research Engineer,Entry,Medium,Finland,32320.219
2020,Research Engineer,Entry,Large,United States,129376.75
2020,Research Engineer,Entry,Large,Australia,35833.508
2020,Research Engineer,Entry,Large,Netherlands,40948.28
2020,Research Engineer,Entry,Large,United Kingdom,73195.98
2020,Research Engineer,Entry,Large,Canada,47744.54
2020,Research Engineer,Entry,Large,Italy,43424.723
2020,Research Engineer,Entry,Large,Singapore,52074.023
2020,Research Engineer,Entry,Large,Germany,62290.51
2020,Research Engineer,Entry,Large,Finland,22257.244
2020,Research Engineer,Entry,Enterprise,United States,133266.2
2020,Research Engineer,Entry,Enterprise,Australia,38965.324
2020,Research Engineer,Entry,Enterprise,Netherlands,45670.73
2020,Research Engineer,Entry,Enterprise,United Kingdom,115251.3
2020,Research Engineer,Entry,Enterprise,Canada,52466.99
2020,Research Engineer,Entry,Enterprise,Italy,47240.383
2020,Research Engineer,Entry,Enterprise,Singapore,56796.48
2020,Research Engineer,Entry,Enterprise,Germany,65422.332
2020,Research Engineer,Entry,Enterprise,Finland,26979.686
2020,Research Engineer,Mid,Small,United States,162563.3
2020,Research Engineer,Mid,Small,Australia,63472.914
2020,Research Engineer,Mid,Small,Netherlands,71097.91
2020,Research Engineer,Mid,Small,United Kingdom,139012.58
2020,Research Engineer,Mid,Small,Canada,79896.92
2020,Research Engineer,Mid,Small,Italy,73630.08
2020,Research Engineer,Mid,Small,Singapore,84574.83
2020,Research Engineer,Mid,Small,Germany,87837.34
2020,Research Engineer,Mid,Small,Finland,52868.65
2020,Research Engineer,Mid,Medium,United States,177692.05
2020,Research Engineer,Mid,Medium,Australia,73129.734
2020,Research Engineer,Mid,Medium,Netherlands,84701.86
2020,Research Engineer,Mid,Medium,United Kingdom,158514.27
2020,Research Engineer,Mid,Medium,Canada,95589.83
2020,Research Engineer,Mid,Medium,Italy,87323.06
2020,Research Engineer,Mid,Medium,Singapore,97761.7
2020,Research Engineer,Mid,Medium,Germany,108980.56
2020,Research Engineer,Mid,Medium,Finland,66561.66
2020,Research Engineer,Mid,Large,United States,163589.6
2020,Research Engineer,Mid,Large,Australia,59471.105
2020,Research Engineer,Mid,Large,Netherlands,66489.54
2020,Research Engineer,Mid,Large,United Kingdom,95311.99
2020,Research Engineer,Mid,Large,Canada,75288.555
2020,Research Engineer,Mid,Large,Italy,69021.71
2020,Research Engineer,Mid,Large,Singapore,79966.46
2020,Research Engineer,Mid,Large,Germany,86276.305
2020,Research Engineer,Mid,Large,Finland,48260.273
2020,Research Engineer,Mid,Enterprise,United States,168034.92
2020,Research Engineer,Mid,Enterprise,Australia,63472.914
2020,Research Engineer,Mid,Enterprise,Netherlands,72081.98
2020,Research Engineer,Mid,Enterprise,United Kingdom,139012.58
2020,Research Engineer,Mid,Enterprise,Canada,80880.99
2020,Research Engineer,Mid,Enterprise,Italy,74614.15
2020,Research Engineer,Mid,Enterprise,Singapore,85558.9
2020,Research Engineer,Mid,Enterprise,Germany,90278.12
2020,Research Engineer,Mid,Enterprise,Finland,53852.72
2020,Research Engineer,Senior,Small,United States,179809.31
2020,Research Engineer,Senior,Small,Australia,117099.71
2020,Research Engineer,Senior,Small,Netherlands,132455.75
2020,Research Engineer,Senior,Small,United Kingdom,278448.3
2020,Research Engineer,Senior,Small,Canada,130975.49
2020,Research Engineer,Senior,Small,Italy,122111.06
2020,Research Engineer,Senior,Small,Singapore,146167.97
2020,Research Engineer,Senior,Small,Germany,152385.62
2020,Research Engineer,Senior,Small,Finland,111859.09
2020,Research Engineer,Senior,Medium,United States,197408.88
2020,Research Engineer,Senior,Medium,Australia,127210.29
2020,Research Engineer,Senior,Medium,Netherlands,148415.0
2020,Research Engineer,Senior,Medium,United Kingdom,295657.16
2020,Research Engineer,Senior,Medium,Canada,148566.64
2020,Research Engineer,Senior,Medium,Italy,138159.31
2020,Research Engineer,Senior,Medium,Singapore,162432.83
2020,Research Engineer,Senior,Medium,Germany,176240.28
2020,Research Engineer,Senior,Medium,Finland,127907.336
2020,Research Engineer,Senior,Large,United States,188675.98
2020,Research Engineer,Senior,Large,Australia,117321.32
2020,Research Engineer,Senior,Large,Netherlands,133029.19
2020,Research Engineer,Senior,Large,United Kingdom,250829.69
2020,Research Engineer,Senior,Large,Canada,131548.95
2020,Research Engineer,Senior,Large,Italy,123591.3
2020,Research Engineer,Senior,Large,Singapore,146741.42
2020,Research Engineer,Senior,Large,Germany,156006.39
2020,Research Engineer,Senior,Large,Finland,112432.53
2020,Research Engineer,Senior,Enterprise,United States,188817.14
2020,Research Engineer,Senior,Enterprise,Australia,119677.42
2020,Research Engineer,Senior,Enterprise,Netherlands,136976.02
2020,Research Engineer,Senior,Enterprise,United Kingdom,278448.3
2020,Research Engineer,Senior,Enterprise,Canada,135495.78
2020,Research Engineer,Senior,Enterprise,Italy,126631.3
2020,Research Engineer,Senior,Enterprise,Singapore,150688.25
2020,Research Engineer,Senior,Enterprise,Germany,158362.58
2020,Research Engineer,Senior,Enterprise,Finland,116379.4
2020,Research Engineer,Lead,Small,United States,211899.42
2020,Research Engineer,Lead,Small,Australia,141001.47
2020,Research Engineer,Lead,Small,Netherlands,148306.11
2020,Research Engineer,Lead,Small,United Kingdom,237650.12
2020,Research Engineer,Lead,Small,Canada,152203.27
2020,Research Engineer,Lead,Small,Italy,147791.5
2020,Research Engineer,Lead,Small,Singapore,169344.2
2020,Research Engineer,Lead,Small,Germany,170418.06
2020,Research Engineer,Lead,Small,Finland,128861.41
2020,Research Engineer,Lead,Medium,United States,225256.62
2020,Research Engineer,Lead,Medium,Australia,149386.0
2020,Research Engineer,Lead,Medium,Netherlands,162232.78
2020,Research Engineer,Lead,Medium,United Kingdom,252826.4
2020,Research Engineer,Lead,Medium,Canada,166597.12
2020,Research Engineer,Lead,Medium,Italy,161807.22
2020,Research Engineer,Lead,Medium,Singapore,183576.48
2020,Research Engineer,Lead,Medium,Germany,192008.12
2020,Research Engineer,Lead,Medium,Finland,142877.1
2020,Research Engineer,Lead,Large,United States,217892.25
2020,Research Engineer,Lead,Large,Australia,140752.06
2020,Research Engineer,Lead,Large,Netherlands,148408.53
2020,Research Engineer,Lead,Large,United Kingdom,206937.39
2020,Research Engineer,Lead,Large,Canada,152305.69
2020,Research Engineer,Lead,Large,Italy,148800.73
2020,Research Engineer,Lead,Large,Singapore,169446.62
2020,Research Engineer,Lead,Large,Germany,173567.83
2020,Research Engineer,Lead,Large,Finland,128963.83
2020,Research Engineer,Lead,Enterprise,United States,220392.72
2020,Research Engineer,Lead,Enterprise,Australia,143579.28
2020,Research Engineer,Lead,Enterprise,Netherlands,152826.39
2020,Research Engineer,Lead,Enterprise,United Kingdom,237650.12
2020,Research Engineer,Lead,Enterprise,Canada,156723.55
2020,Research Engineer,Lead,Enterprise,Italy,152311.78
2020,Research Engineer,Lead,Enterprise,Singapore,173864.48
2020,Research Engineer,Lead,Enterprise,Germany,176395.05
2020,Research Engineer,Lead,Enterprise,Finland,133381.67
2020,Software Engineer,Entry,Small,United States,75197.195
2020,Software Engineer,Entry,Small,Australia,89256.65
2020,Software Engineer,Entry,Small,Netherlands,59140.344
2020,Software Engineer,Entry,Small,United Kingdom,59981.938
2020,Software Engineer,Entry,Small,Canada,65631.64
2020,Software Engineer,Entry,Small,Italy,47942.58
2020,Software Engineer,Entry,Small,Singapore,64573.895
2020,Software Engineer,Entry,Small,Germany,57284.137
2020,Software Engineer,Entry,Small,Finland,38604.207
2020,Software Engineer,Entry,Medium,United States,65406.973
2020,Software Engineer,Entry,Medium,Australia,65101.918
2020,Software Engineer,Entry,Medium,Netherlands,47576.773
2020,Software Engineer,Entry,Medium,United Kingdom,45519.375
2020,Software Engineer,Entry,Medium,Canada,56934.89
2020,Software Engineer,Entry,Medium,Italy,36468.03
2020,Software Engineer,Entry,Medium,Singapore,51965.77
2020,Software Engineer,Entry,Medium,Germany,46155.344
2020,Software Engineer,Entry,Medium,Finland,27129.633
2020,Software Engineer,Entry,Large,United States,67711.34
2020,Software Engineer,Entry,Large,Australia,76321.69
2020,Software Engineer,Entry,Large,Netherlands,50675.0
2020,Software Engineer,Entry,Large,United Kingdom,54151.13
2020,Software Engineer,Entry,Large,Canada,57166.297
2020,Software Engineer,Entry,Large,Italy,40384.02
2020,Software Engineer,Entry,Large,Singapore,56108.535
2020,Software Engineer,Entry,Large,Germany,48818.793
2020,Software Engineer,Entry,Large,Finland,30138.836
2020,Software Engineer,Entry,Enterprise,United States,67432.67
2020,Software Engineer,Entry,Enterprise,Australia,76321.69
2020,Software Engineer,Entry,Enterprise,Netherlands,50675.0
2020,Software Engineer,Entry,Enterprise,United Kingdom,51516.594
2020,Software Engineer,Entry,Enterprise,Canada,57166.297
